,ad_id,reporting_start,campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,conversion_rate,clr,cpc
0,708746,2017-08-17,916,30-34,M,15,17,17,7350,1,1,2,1,0.00027210884353741496,0.00013605442176870748,1.0
1,708749,2017-08-17,916,30-34,M,16,19,21,17861,2,1,2,0,0.00011197581322434354,0.00011197581322434354,0.5
2,708771,2017-08-17,916,30-34,M,20,25,22,693,0,0,1,0,0.001443001443001443,0.0,0.0
3,708815,2017-08-30,916,30-34,M,28,32,32,4259,1,1,1,0,0.00023479690068091102,0.00023479690068091102,1.0
4,708818,2017-08-17,916,30-34,M,28,33,32,4133,1,1,1,1,0.00024195499637067505,0.00024195499637067505,1.0
5,708820,2017-08-17,916,30-34,M,29,30,30,1915,0,0,1,1,0.0005221932114882506,0.0,0.0
6,708889,2017-08-17,916,30-34,M,15,16,17,15615,3,4,1,0,6.404098623118796e-05,0.00019212295869356388,1.3333333333333333
7,708895,2017-08-17,916,30-34,M,16,20,18,10951,1,1,1,1,9.131586156515387e-05,9.131586156515387e-05,1.0
8,708953,2017-08-17,916,30-34,M,27,31,31,2355,1,1,1,0,0.0004246284501061571,0.0004246284501061571,1.0
9,708958,2017-08-30,916,30-34,M,28,32,31,9502,3,3,1,0,0.00010524100189433803,0.0003157230056830141,1.0
10,708979,2017-08-30,916,30-34,M,31,37,34,1224,0,0,1,0,0.0008169934640522876,0.0,0.0
11,709023,2017-08-29,916,30-34,M,7,8,8,735,0,0,1,0,0.0013605442176870747,0.0,0.0
12,709038,2017-08-29,916,30-34,M,16,20,22,5117,0,0,1,0,0.00019542700801250732,0.0,0.0
13,709040,2017-08-29,916,30-34,M,16,19,21,5120,0,0,1,0,0.0001953125,0.0,0.0
14,709059,2017-08-30,916,30-34,M,20,26,23,14669,7,10,1,1,6.817097279978186e-05,0.000477196809598473,1.4285714285714286
15,709105,2017-08-30,916,30-34,M,28,30,32,1241,0,0,1,1,0.0008058017727639,0.0,0.0
16,709115,2017-08-30,916,30-34,M,30,34,31,2305,1,0,1,0,0.0004338394793926247,0.0004338394793926247,0.0
17,709124,2017-08-30,916,30-34,M,31,34,33,1024,0,0,1,1,0.0009765625,0.0,0.0
18,709179,2017-08-30,916,35-39,M,15,16,17,4627,1,1,1,0,0.0002161227577263886,0.0002161227577263886,1.0
19,709183,2017-08-30,916,35-39,M,16,20,22,21026,4,4,2,1,9.512032721392562e-05,0.00019024065442785123,1.0
20,709320,2017-08-17,916,35-39,M,15,21,20,1422,0,0,1,1,0.0007032348804500703,0.0,0.0
21,709323,2017-08-17,916,35-39,M,15,17,19,7132,2,2,1,0,0.00014021312394840157,0.00028042624789680314,1.0
22,709326,2017-08-18,916,35-39,M,16,22,22,12190,2,3,1,0,8.203445447087777e-05,0.00016406890894175554,1.5
23,709327,2017-08-18,916,35-39,M,16,22,20,12193,2,3,1,1,8.201427048306405e-05,0.0001640285409661281,1.5
24,709328,2017-08-18,916,35-39,M,16,19,18,3332,0,0,1,1,0.00030012004801920766,0.0,0.0
25,709455,2017-08-18,916,35-39,M,7,12,10,559,0,0,1,0,0.0017889087656529517,0.0,0.0
26,709544,2017-08-18,916,35-39,M,29,33,32,7440,2,2,1,1,0.00013440860215053763,0.00026881720430107527,1.0
27,709614,2017-08-19,916,40-44,M,16,19,20,19113,4,5,1,0,5.232041019201591e-05,0.00020928164076806363,1.25
28,709756,2017-08-19,916,40-44,M,16,21,21,10976,2,1,1,1,9.110787172011662e-05,0.00018221574344023323,0.5
29,709761,2017-08-18,916,40-44,M,16,19,20,2861,0,0,1,0,0.0003495281370150297,0.0,0.0
30,709899,2017-08-18,916,40-44,M,15,18,20,1398,0,0,1,1,0.000715307582260372,0.0,0.0
31,709901,2017-08-18,916,40-44,M,16,18,20,23817,7,8,1,1,4.1986816139732125e-05,0.0002939077129781249,1.1428571428571428
32,710045,2017-08-17,916,45-49,M,16,22,17,47224,12,15,1,0,2.1175673386413687e-05,0.00025410808063696424,1.25
33,710088,2017-08-17,916,45-49,M,24,26,27,2283,1,1,1,0,0.0004380201489268506,0.0004380201489268506,1.0
34,710360,2017-08-17,916,45-49,M,21,26,24,2182,1,1,1,1,0.00045829514207149406,0.00045829514207149406,1.0
35,710477,2017-08-17,916,30-34,F,16,19,19,2654,0,0,1,1,0.00037678975131876413,0.0,0.0
36,710480,2017-08-17,916,30-34,F,16,21,20,57665,14,18,1,1,1.7341541663053846e-05,0.00024278158328275385,1.2857142857142858
37,710571,2017-08-18,916,30-34,F,32,37,38,3091,1,1,1,1,0.00032351989647363315,0.00032351989647363315,1.0
38,710617,2017-08-18,916,30-34,F,15,19,16,5014,1,1,1,0,0.00019944156362185878,0.00019944156362185878,1.0
39,710623,2017-08-18,916,30-34,F,16,19,20,38726,7,9,1,0,2.5822444869080204e-05,0.00018075711408356142,1.2857142857142858
40,710628,2017-08-17,916,30-34,F,18,24,22,1473,0,0,1,0,0.0006788866259334691,0.0,0.0
41,710682,2017-08-29,916,30-34,F,27,33,32,1186,0,0,1,0,0.0008431703204047217,0.0,0.0
42,710763,2017-08-29,916,30-34,F,15,19,17,5369,1,1,1,0,0.00018625442354255913,0.00018625442354255913,1.0
43,710836,2017-08-27,916,30-34,F,29,33,31,22221,7,9,1,1,4.5002475136132486e-05,0.0003150173259529274,1.2857142857142858
44,710867,2017-08-26,916,30-34,F,63,64,68,1185,0,0,1,0,0.0008438818565400844,0.0,0.0
45,710880,2017-08-26,916,30-34,F,65,70,68,13019,5,6,1,0,7.681081496274676e-05,0.00038405407481373376,1.2
46,710961,2017-08-27,916,35-39,F,25,29,26,2508,1,1,1,0,0.00039872408293460925,0.00039872408293460925,1.0
47,710968,2017-08-27,916,35-39,F,27,31,29,5864,2,2,1,1,0.00017053206002728513,0.00034106412005457026,1.0
48,711217,2017-08-27,916,35-39,F,20,26,23,2783,1,1,1,0,0.00035932446999640676,0.00035932446999640676,1.0
49,711623,2017-08-27,916,40-44,F,15,18,20,3812,1,1,2,1,0.0005246589716684155,0.00026232948583420777,1.0
50,711764,2017-08-27,916,45-49,F,10,16,11,11199,4,5,1,1,8.92936869363336e-05,0.0003571747477453344,1.25
51,711785,2017-08-26,916,45-49,F,19,25,23,292,0,0,1,0,0.003424657534246575,0.0,0.0
52,711877,2017-08-26,916,45-49,F,63,67,65,17572,7,9,1,0,5.690871841566128e-05,0.00039836102890962894,1.2857142857142858
53,712052,2017-08-25,916,45-49,F,10,13,11,1448,0,0,1,1,0.0006906077348066298,0.0,0.0
54,734209,2017-08-25,936,30-34,M,10,16,14,1772,0,0,1,1,0.000564334085778781,0.0,0.0
